ID,Station (ft),WSE 'Max' (feet)
861,594.118,363.177
862,594.203,363.176
863,595.093,363.171
864,595.112,363.171
865,596.01,363.159
866,596.455,363.154
867,596.899,363.148
868,597.343,363.142
869,597.787,363.141
870,598.681,363.141
871,599.586,363.141
872,599.688,363.141
873,600.493,363.141
874,601.384,363.139
875,602.241,363.137
876,603.057,363.134
877,603.844,363.131
878,604.625,363.128
879,605.418,363.125
880,606.252,363.121
881,606.916,363.118
882,607.138,363.117
883,608.058,363.114
884,608.988,363.111
885,609.92,363.107
886,610.852,363.102
887,611.784,363.097
888,612.489,363.094
889,612.717,363.092
890,613.649,363.086
891,614.581,363.08
892,615.049,363.076
893,615.516,363.073
894,615.992,363.07
895,616.468,363.067
896,617.483,363.062
897,618.612,363.059
898,619.832,363.057
899,621.028,363.054
900,621.719,363.052
901,622.097,363.05
902,623.046,363.044
903,623.94,363.039
904,624.831,363.034
905,625.733,363.03
906,626.628,363.026
907,627.063,363.025
908,627.498,363.024
909,627.917,363.023
910,628.336,363.022
911,629.152,363.02
912,629.317,363.02
913,629.96,363.018
914,630.649,363.017
915,630.768,363.016
916,631.175,363.014
917,631.582,363.012
918,632.409,363.008
919,633.249,363.003
920,633.673,363.001
921,634.098,362.999
922,634.524,362.997
923,634.95,362.995
924,635.804,362.992
925,636.662,362.989
926,637.521,362.987
927,638.383,362.985
928,639.25,362.982
929,639.528,362.982
930,640.119,362.968
931,640.16,362.967
932,640.747,362.965
933,640.971,362.965
934,641.789,362.962
935,642.579,362.959
936,643.358,362.955
937,644.138,362.953
938,644.951,362.952
939,645.892,362.952
940,647.099,362.951
941,647.757,362.951
942,648.574,362.947
943,649.591,362.942
944,650.083,362.94
945,651.381,362.937
946,652.438,362.935
947,653.363,362.935
948,654.246,362.935
949,654.358,362.935
950,655.113,362.934
951,655.963,362.932
952,656.818,362.93
953,657.705,362.927
954,658.599,362.923
955,658.631,362.923
956,659.219,362.921
957,659.376,362.921
958,659.567,362.92
959,660.487,362.916
960,661.371,362.913
961,661.605,362.912
962,662.207,362.912
963,662.996,362.911
964,663.749,362.91
965,664.486,362.907
966,665.23,362.905
967,665.991,362.901
968,666.171,362.901
969,666.763,362.898
970,667.533,362.895
971,668.295,362.892
972,669.052,362.889
973,669.81,362.885
974,670.579,362.882
975,671.368,362.879
976,672.18,362.875
977,673.01,362.871
978,673.85,362.868
979,674.688,362.864
980,674.923,362.863
981,675.514,362.855
982,676.319,362.845
983,677.109,362.836
984,677.898,362.827
985,678.692,362.827
986,679.486,362.827
987,679.918,362.826
988,680.282,362.826
989,681.082,362.826
990,681.878,362.824
991,682.665,362.821
992,683.444,362.818
993,684.209,362.814
994,684.955,362.811
995,685.634,362.808
996,685.685,362.808
997,686.422,362.803
998,687.198,362.798
999,688.033,362.793
1000,688.915,362.788
1001,689.818,362.783
1002,690.725,362.78
1003,691.627,362.777
1004,692.52,362.774
1005,693.405,362.771
1006,693.523,362.77
1007,694.285,362.765
1008,695.16,362.759
1009,696.021,362.753
1010,696.859,362.747
1011,697.67,362.741
1012,698.453,362.738
1013,699.205,362.735
1014,699.93,362.733
1015,700.643,362.73
1016,701.363,362.728
1017,702.101,362.725
1018,702.178,362.725
1019,702.859,362.719
1020,703.634,362.713
1021,704.424,362.706
1022,705.228,362.7
1023,705.418,362.698
1024,706.044,362.693
1025,706.867,362.686
1026,707.691,362.684
1027,708.513,362.682
1028,709.334,362.68
1029,710.156,362.678
1030,710.988,362.676
1031,711.48,362.675
1032,711.826,362.672
1033,712.654,362.664
1034,713.464,362.656
1035,713.865,362.652
1036,714.266,362.648
1037,714.672,362.645
1038,715.078,362.645
1039,715.911,362.645
1040,716.768,362.644
1041,717.576,362.644
1042,717.654,362.644
1043,718.567,362.642
1044,719.498,362.637
1045,720.435,362.631
1046,721.357,362.626
1047,722.232,362.62
1048,723.043,362.615
1049,723.798,362.61
1050,724.158,362.608
1051,724.521,362.606
1052,725.235,362.603
1053,725.957,362.6
1054,726.325,362.598
1055,726.694,362.597
1056,727.441,362.592
1057,728.192,362.588
1058,728.944,362.583
1059,729.4,362.581
1060,729.701,362.577
1061,730.088,362.572
1062,730.475,362.567
1063,731.266,362.557
1064,732.066,362.551
1065,732.869,362.551
1066,733.679,362.551
1067,734.26,362.551
1068,734.502,362.551
1069,735.343,362.549
1070,736.204,362.546
1071,737.076,362.542
1072,737.95,362.537
1073,738.821,362.532
1074,739.686,362.528
1075,740.544,362.523
1076,741.399,362.516
1077,741.898,362.51
1078,742.255,362.509
1079,743.117,362.505
1080,743.991,362.501
1081,744.885,362.496
1082,745.795,362.492
1083,746.714,362.488
1084,747.405,362.484
1085,747.427,362.484
1086,747.481,362.484
1087,747.635,362.482
1088,748.557,362.475
1089,749.479,362.467
1090,750.4,362.459
1091,751.322,362.451
1092,752.243,362.447
1093,753.162,362.445
1094,754.075,362.442
1095,754.978,362.44
1096,755.842,362.438
1097,755.873,362.438
1098,756.76,362.429
1099,757.64,362.421
1100,758.514,362.414
1101,759.388,362.411
1102,760.263,362.411
1103,761.14,362.411
1104,761.281,362.411
1105,762.017,362.41
1106,762.893,362.407
1107,763.769,362.404
1108,764.645,362.399
1109,765.52,362.396
1110,766.391,362.393
1111,767.259,362.389
1112,768.127,362.383
1113,768.203,362.382
1114,769,362.379
1115,769.436,362.377
1116,769.872,362.375
1117,770.732,362.37
1118,771.577,362.366
1119,771.954,362.365
1120,772.423,362.363
1121,773.298,362.36
1122,774.207,362.356
1123,774.369,362.355
1124,775.137,362.347
1125,776.07,362.337
1126,776.531,362.333
1127,776.991,362.33
1128,777.44,362.33
1129,777.889,362.329
1130,778.325,362.329
1131,778.761,362.328
1132,778.963,362.328
1133,779.615,362.327
1134,780.459,362.325
1135,781.295,362.322
1136,781.564,362.321
1137,781.816,362.32
1138,782.127,362.319
1139,782.963,362.316
1140,783.438,362.314
1141,783.584,362.313
1142,783.649,362.313
1143,783.806,362.312
1144,784.659,362.309
1145,785.51,362.304
1146,786.342,362.297
1147,786.377,362.296
1148,787.143,362.294
1149,787.915,362.291
1150,788.667,362.287
1151,789.414,362.284
1152,790.167,362.28
1153,790.937,362.277
1154,791.731,362.273
1155,792.353,362.271
1156,792.533,362.268
1157,793.321,362.259
1158,794.095,362.249
1159,794.878,362.247
1160,795.693,362.247
1161,796.062,362.247
1162,796.542,362.247
1163,797.424,362.245
1164,798.331,362.242
1165,799.236,362.239
1166,800.111,362.236
1167,800.953,362.233
1168,801.77,362.23
1169,802.578,362.228
1170,803.383,362.223
1171,804.188,362.216
1172,804.313,362.214
1173,804.994,362.208
1174,805.804,362.2
1175,806.621,362.199
1176,807.134,362.198
1177,807.444,362.198
1178,808.263,362.195
1179,809.073,362.191
1180,809.474,362.188
1181,809.874,362.185
1182,810.67,362.18
1183,811.46,362.175
1184,812.243,362.17
1185,812.637,362.168
1186,813.031,362.166
1187,813.435,362.164
1188,813.839,362.163
1189,814.258,362.161
1190,814.626,362.159
1191,814.676,362.159
1192,815.537,362.154
1193,815.973,362.151
1194,816.41,362.148
