ID,Station (ft),Terrain Profile (ft)
285,24.898,358.716
286,24.898,358.716
287,24.898,358.716
288,24.898,358.716
289,24.898,358.716
290,24.898,358.716
291,24.898,358.716
292,24.898,358.716
293,24.898,358.716
294,24.898,358.716
295,24.898,358.716
296,24.898,358.716
297,24.898,358.716
298,24.898,358.716
299,24.898,358.716
300,24.898,358.716
301,24.898,358.716
302,24.898,358.716
303,24.898,358.716
304,24.898,358.716
305,24.898,358.716
306,24.898,358.716
307,24.898,358.716
308,24.898,358.716
309,24.898,358.716
310,24.898,358.716
311,24.898,358.716
312,24.898,358.716
313,24.898,358.716
314,25.282,358.693
315,25.298,358.692
316,25.313,358.692
317,26.055,358.762
318,26.055,358.762
319,26.055,358.762
320,26.055,358.762
321,26.055,358.762
322,26.055,358.762
323,26.055,358.762
324,26.055,358.762
325,26.055,358.762
326,26.055,358.762
327,26.055,358.762
328,26.055,358.762
329,26.055,358.762
330,26.055,358.762
331,26.055,358.762
332,26.055,358.762
333,26.055,358.762
334,26.055,358.762
335,26.055,358.762
336,26.055,358.762
337,26.055,358.762
338,26.055,358.762
339,26.055,358.762
340,26.055,358.762
341,26.055,358.762
342,26.055,358.762
343,26.055,358.762
344,26.055,358.762
345,26.055,358.762
346,26.055,358.762
347,26.055,358.762
348,26.055,358.762
349,26.055,358.762
350,26.055,358.762
351,26.055,358.762
352,26.055,358.762
353,26.055,358.762
354,26.055,358.762
355,26.055,358.762
356,26.055,358.762
357,26.055,358.762
358,26.055,358.762
359,26.055,358.762
360,26.055,358.762
361,26.055,358.762
362,26.055,358.762
363,26.055,358.762
364,26.055,358.762
365,26.055,358.762
366,26.055,358.762
367,26.055,358.762
368,26.055,358.762
369,26.055,358.762
370,26.055,358.762
371,27.225,358.764
372,27.225,358.764
373,27.225,358.764
374,27.225,358.764
375,27.225,358.764
376,27.225,358.764
377,27.225,358.764
378,27.225,358.764
379,27.225,358.764
380,27.225,358.764
381,27.225,358.764
382,27.225,358.764
383,27.225,358.764
384,27.225,358.764
385,27.225,358.764
386,27.225,358.764
387,27.225,358.764
388,27.225,358.764
389,27.225,358.764
390,27.225,358.764
391,27.225,358.764
392,27.225,358.764
393,27.225,358.764
394,27.225,358.764
395,27.225,358.764
396,27.225,358.764
397,27.225,358.764
398,27.225,358.764
399,27.225,358.764
400,27.225,358.764
401,27.225,358.764
402,27.225,358.764
403,27.225,358.764
404,27.225,358.764
405,27.225,358.764
406,27.225,358.764
407,27.225,358.764
408,27.225,358.764
409,27.225,358.764
410,27.225,358.764
