,time,ndvi
99,1993-11-19 18:07:59.712999936,0.19798773200153544
100,1993-12-05 18:07:57.340999936,0.24645442794263622
101,1994-01-06 18:07:35.896000000,0.33122676191652234
102,1994-03-27 18:06:30.308000000,0.5349622736583659
103,1994-04-28 18:05:54.203000064,0.47333919620319476
104,1994-05-14 18:05:35.724000000,0.4373165149179684
105,1994-07-01 18:04:35.467000064,0.23936735597986683
106,1994-07-17 18:04:09.906000000,0.2180845613657055
107,1994-08-02 18:03:41.970000000,0.217822004853811
108,1994-08-18 18:03:18.852000000,0.2093435740544792
109,1994-09-03 18:02:55.051000064,0.20899946705554148
110,1994-09-19 18:02:29.700999936,0.18751261728005242
111,1994-10-21 18:01:31.872000000,0.2035120435238195
112,1994-11-22 18:00:24.024999936,0.28211963601558504
113,1995-03-30 17:55:40.220000000,0.6060430856888038
