ID,Station (ft),Velocity 'Max' (feet/sec)
716,496.035,11.349
717,496.831,11.271
718,497.611,11.201
719,498.371,11.141
720,498.74,11.066
721,499.11,11.011
722,499.823,10.905
723,500.12,10.862
724,500.521,10.805
725,501.224,10.717
726,501.828,10.625
727,501.95,10.611
728,502.701,10.532
729,503.486,10.46
730,504.304,10.462
731,505.149,10.481
732,505.465,10.488
733,506.003,10.531
734,506.857,10.597
735,507.711,10.667
736,508.57,10.739
737,509.435,10.819
738,510.301,10.971
739,510.734,11.042
740,511.167,11.125
741,511.597,11.208
742,512.028,11.301
743,512.879,11.454
744,513.714,11.615
745,513.799,11.632
746,514.528,11.759
747,515.325,11.899
748,515.717,11.678
749,516.108,11.699
750,516.494,11.723
751,516.881,12.172
752,517.658,12.308
753,518.465,12.459
754,519.313,12.648
755,520.185,12.531
756,521.003,12.807
757,521.055,12.824
758,521.916,13.137
759,522.794,13.483
760,522.813,13.488
761,523.704,13.553
762,524.638,13.538
763,525.575,13.506
764,526.502,13.514
765,527.416,13.398
766,528.309,13.286
767,529.165,13.348
768,529.983,13.103
769,530.117,13.09
770,530.792,13.027
771,531.249,12.988
772,531.3,12.984
773,531.626,12.974
774,532.484,13.098
775,533.325,13.076
776,534.128,13.227
777,534.919,13.363
778,535.731,13.396
779,536.572,13.225
780,537.427,12.943
781,538.285,12.752
782,538.553,12.675
783,539.142,12.516
784,539.644,12.388
785,539.995,12.304
786,540.775,12.134
787,540.836,12.135
788,541.651,12.156
789,542.444,12.181
790,543.231,12.236
791,544.025,12.275
792,544.819,12.349
793,545.601,12.243
794,546.368,12.063
795,547.127,11.9
796,547.894,11.74
797,548.691,11.581
798,549.246,11.475
799,549.534,11.461
800,550.418,11.444
801,551.325,11.438
802,552.233,11.432
803,553.133,11.426
804,554.026,11.433
805,554.92,11.523
806,555.82,11.659
807,556.724,11.827
808,557.624,12.009
809,558.512,12.189
810,558.731,12.232
811,559.387,12.261
812,560.255,12.224
813,561.119,12.123
814,561.982,11.986
815,562.849,11.854
816,563.722,11.473
817,564.597,11.178
818,565.467,10.946
819,566.334,10.76
820,567.151,10.617
821,567.196,10.621
822,568.05,10.7
823,568.89,10.692
824,569.721,10.912
825,570.551,11.041
