ID,Station (ft),WSE 'Max' (feet)
771,531.249,363.389
772,531.3,363.389
773,531.626,363.384
774,532.484,363.373
775,533.325,363.361
776,534.128,363.351
777,534.919,363.34
778,535.731,363.33
779,536.572,363.324
780,537.427,363.321
781,538.285,363.318
782,538.553,363.317
783,539.142,363.315
784,539.644,363.314
785,539.995,363.312
786,540.775,363.31
787,540.836,363.31
788,541.651,363.304
789,542.444,363.299
790,543.231,363.294
791,544.025,363.288
792,544.819,363.283
793,545.601,363.28
794,546.368,363.277
795,547.127,363.275
796,547.894,363.272
797,548.691,363.269
798,549.246,363.268
799,549.534,363.265
800,550.418,363.259
801,551.325,363.252
802,552.233,363.245
803,553.133,363.239
804,554.026,363.233
805,554.92,363.231
806,555.82,363.229
807,556.724,363.227
808,557.624,363.225
809,558.512,363.223
810,558.731,363.223
811,559.387,363.219
812,560.255,363.214
813,561.119,363.209
814,561.982,363.204
815,562.849,363.199
816,563.722,363.195
817,564.597,363.191
818,565.467,363.188
819,566.334,363.184
820,567.151,363.181
821,567.196,363.181
822,568.05,363.173
823,568.89,363.168
824,569.721,363.16
825,570.551,363.154
826,571.397,363.15
827,572.269,363.144
828,573.171,363.141
829,574.091,363.14
830,574.864,363.138
831,575.004,363.137
832,575.883,363.135
833,576.511,363.133
834,576.716,363.132
835,577.509,363.127
836,578.284,363.122
837,579.064,363.117
838,579.868,363.112
839,580.708,363.106
840,581.581,363.102
841,582.027,363.102
842,582.472,363.101
843,582.921,363.1
844,583.369,363.098
845,583.818,363.098
846,584.266,363.097
847,584.715,363.096
848,585.163,363.095
849,585.612,363.094
850,585.698,363.093
851,586.06,363.091
852,586.508,363.088
853,586.957,363.085
854,587.854,363.08
855,588.752,363.074
856,589.652,363.068
857,590.556,363.064
858,591.463,363.06
859,592.374,363.057
860,593.288,363.053
861,594.118,363.05
862,594.203,363.049
863,595.093,363.045
864,595.112,363.044
865,596.01,363.036
866,596.455,363.031
867,596.899,363.027
868,597.343,363.022
869,597.787,363.022
870,598.681,363.022
871,599.586,363.021
872,599.688,363.021
873,600.493,363.02
874,601.384,363.018
875,602.241,363.015
876,603.057,363.012
877,603.844,363.009
878,604.625,363.006
879,605.418,363.002
880,606.252,362.998
881,606.916,362.995
882,607.138,362.994
883,608.058,362.991
884,608.988,362.988
885,609.92,362.984
886,610.852,362.979
887,611.784,362.973
888,612.489,362.97
889,612.717,362.968
890,613.649,362.961
891,614.581,362.955
892,615.049,362.952
893,615.516,362.949
894,615.992,362.945
895,616.468,362.942
896,617.483,362.937
897,618.612,362.934
898,619.832,362.931
899,621.028,362.928
900,621.719,362.926
901,622.097,362.923
902,623.046,362.917
903,623.94,362.911
904,624.831,362.907
905,625.733,362.901
906,626.628,362.897
907,627.063,362.896
908,627.498,362.895
909,627.917,362.894
910,628.336,362.893
911,629.152,362.891
912,629.317,362.891
913,629.96,362.89
914,630.649,362.888
915,630.768,362.887
916,631.175,362.885
917,631.582,362.884
918,632.409,362.879
919,633.249,362.875
920,633.673,362.873
921,634.098,362.871
922,634.524,362.868
923,634.95,362.866
924,635.804,362.863
925,636.662,362.861
926,637.521,362.859
927,638.383,362.857
928,639.25,362.855
929,639.528,362.854
930,640.119,362.842
931,640.16,362.841
932,640.747,362.84
933,640.971,362.839
934,641.789,362.837
935,642.579,362.834
936,643.358,362.831
937,644.138,362.829
938,644.951,362.828
939,645.892,362.828
940,647.099,362.827
941,647.757,362.826
942,648.574,362.823
943,649.591,362.818
944,650.083,362.816
945,651.381,362.812
946,652.438,362.811
947,653.363,362.81
948,654.246,362.81
949,654.358,362.81
950,655.113,362.809
951,655.963,362.807
952,656.818,362.804
953,657.705,362.801
954,658.599,362.797
955,658.631,362.797
956,659.219,362.795
957,659.376,362.794
958,659.567,362.793
959,660.487,362.79
960,661.371,362.786
961,661.605,362.785
962,662.207,362.785
963,662.996,362.784
